model,AUC-PR,F1,Precision,Recall,ROC-AUC,TP,FP,FN,TN
Logistic Regression,0.5156365538463353,0.09271523178807947,0.04941176470588235,0.75,0.8511918770803214,21,404,7,16592
XGBoost,0.761280780059984,0.7777777777777778,0.8076923076923077,0.75,0.9586415290992838,21,5,7,16991
