model,AUC-PR,F1,Precision,Recall,ROC-AUC,TP,FP,FN,TN
Logistic Regression,0.6633166118407584,0.621384895058668,0.5836696678050295,0.6643109540636042,0.8394274981137658,1880,1341,950,26052
XGBoost,0.7129361175901261,0.6864197530864198,0.940923076923077,0.5402826855123675,0.8412246222662182,1529,96,1301,27297
